ACNB,ACNB Corporation,28.6,173517601.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",15.15,706890303.9,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ACRS,"Aclaris Therapeutics, Inc.",24.98,667802655.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACRX,"AcelRx Pharmaceuticals, Inc.",2.65,120258253.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACSF,"American Capital Senior Floating, Ltd.",13.4,134001340,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acsf
ACST,"Acasti Pharma, Inc.",1.2599,18535714.31,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
ACTA,Actua Corporation,14.25,478732355.3,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACTG,Acacia Research Corporation,4.4,222585976.8,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACTX,Global X Guru Activist ETF,14.84,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/actx
ACWI,iShares MSCI ACWI Index Fund,65.67,6777144000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwi
ACWX,iShares MSCI ACWI ex US Index Fund,46.09,2249192000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwx
ACXM,Acxiom Corporation,25.85,2027476299,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADAP,Adaptimmune Therapeutics plc,5.32,173194323.7,32555324,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADBE,Adobe Systems Incorporated,141.12,69811781196,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADES,"Advanced Emissions Solutions, Inc.",9.44,210460769.1,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
ADHD,Alcobra Ltd.,1.13,31145958.35,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ADI,"Analog Devices, Inc.",82.12,29981249762,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ADMA,ADMA Biologics Inc,3.53,45490195.73,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADMP,Adamis Pharmaceuticals Corporation,4,110253140,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADMS,"Adamas Pharmaceuticals, Inc.",16.01,357973433.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADP,"Automatic Data Processing, Inc.",99.98,44732086193,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
ADRA,BLDRS Asia 50 ADR Index Fund,30.36,21252000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adra
ADRD,BLDRS Developed Markets 100 ADR Index Fund,22.3496,61461400,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adrd
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,38.22,137592000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adre
ADRO,"Aduro Biotech, Inc.",10.15,709620593.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
ADRU,BLDRS Europe 100 ADR Index Fund,22.118,14376700,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adru
ADSK,"Autodesk, Inc.",112.48,24783554576,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk
ADTN,"ADTRAN, Inc.",19.75,954394141.5,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADUS,Addus HomeCare Corporation,36.95,428748881.6,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
ADVM,"Adverum Biotechnologies, Inc.",2.75,117890192.8,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
ADXS,"Advaxis, Inc.",9.16,369105488.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",4.945,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
AEGN,Aegion Corp,19.98,669158291.9,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AEHR,Aehr Test Systems,4.68,99259580.16,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AEIS,"Advanced Energy Industries, Inc.",77.73,3091569359,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AEMD,"Aethlon Medical, Inc.",1.922,16907999.29,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
